Medidas resumen

    Variable        	 n  	Media 	 D.E.  	Mín 	 Máx  	Mediana
fixed acidity       	4898	  6.85	   0.84	3.80	 14.20	   6.80
volatile acidity    	4898	  0.28	   0.10	0.08	  1.10	   0.26
citric acid         	4898	  0.33	   0.12	0.00	  1.66	   0.32
residual sugar      	4898	  6.39	   5.07	0.60	 65.80	   5.20
chlorides           	4898	  0.05	   0.02	0.01	  0.35	   0.04
free sulfur dioxide 	4898	 35.31	  17.01	2.00	289.00	  34.00
total sulfur dioxide	4898	138.36	  42.50	9.00	440.00	 134.00
density             	4898	  0.99	3.0E-03	0.99	  1.04	   0.99
pH                  	4898	  3.19	   0.15	2.72	  3.82	   3.18
sulphates           	4898	  0.49	   0.11	0.22	  1.08	   0.47
alcohol             	4898	 10.51	   1.23	8.00	 14.20	  10.40
